Time,Open,High,Low,Close,Volume,EMA9,EMA21,EMA220
2012-12-30,17:44:00,4321,4321,4320.5,4320.75,8,4320.53722252832,4321.11284014874,4319.33048066689
2012-12-30,17:45:00,4321.25,4321.25,4321,4321,4,4320.62977802265,4321.1025819534,4319.34558943914
2012-12-30,17:46:00,4321.25,4321.5,4321.25,4321.25,6,4320.75382241812,4321.115983594,4319.36282392385
2012-12-30,17:47:00,4321.5,4323,4321.5,4323,31,4321.2030579345,4321.28725781273,4319.39573954445
2012-12-30,17:48:00,4323,4323.75,4322.75,4323.5,49,4321.6624463476,4321.48841619339,4319.43288217301
2012-12-30,17:49:00,4323.25,4323.75,4323.25,4323.75,29,4322.07995707808,4321.69401472126,4319.47195111262
2012-12-30,17:50:00,4323.75,4324.5,4323.75,4323.75,25,4322.41396566246,4321.88092247388,4319.51066648717
2012-12-30,17:51:00,4323.75,4324.5,4323.75,4324.5,23,4322.83117252997,4322.1190204308,4319.55581882665
2012-12-30,17:52:00,4324.75,4325.5,4324.75,4325.25,54,4323.31493802398,4322.40365493709,4319.60734987799
2012-12-30,17:53:00,4325.25,4325.5,4324.75,4324.75,12,4323.60195041918,4322.61695903372,4319.6538896981
2012-12-30,17:54:00,4325,4325,4324.25,4324.75,16,4323.83156033535,4322.81087184883,4319.70000834337
2012-12-30,17:55:00,4324.75,4324.75,4324,4324,13,4323.86524826828,4322.91897440803,4319.73892229501
2012-12-30,17:56:00,4324,4324.25,4324,4324.25,3,4323.94219861462,4323.03997673457,4319.77974652764
2012-12-30,17:57:00,4324,4324,4323.75,4323.75,8,4323.9037588917,4323.10452430416,4319.81567642331
2012-12-30,17:58:00,4323.75,4323.75,4323.5,4323.5,16,4323.82300711336,4323.14047664014,4319.84901871813
2012-12-30,17:59:00,4323.5,4323.5,4323.25,4323.25,10,4323.70840569069,4323.15043330922,4319.87979682927
2012-12-30,18:00:00,4323.25,4323.75,4323,4323,11,4323.56672455255,4323.13675755384,4319.90803396204
2012-12-30,18:01:00,4323,4323,4322.5,4322.5,5,4323.35337964204,4323.07887050349,4319.93149066827
2012-12-30,18:02:00,4322.25,4322.5,4322,4322,14,4323.08270371363,4322.98079136681,4319.95021020973
2012-12-30,18:03:00,4322,4322,4321.75,4321.75,14,4322.81616297091,4322.86890124255,4319.96649790014
2012-12-30,18:04:00,4321.75,4321.75,4320.5,4320.5,18,4322.35293037672,4322.65354658414,4319.97132597344
2012-12-30,18:05:00,4320.5,4321,4320.5,4321,10,4322.08234430138,4322.5032241674,4319.98063524065
2012-12-30,18:06:00,4320.75,4321.25,4320.75,4321.25,14,4321.9158754411,4322.38929469763,4319.99212270454
2012-12-30,18:07:00,4321.25,4321.75,4321.25,4321.5,14,4321.83270035288,4322.30844972512,4320.00576865291
2012-12-30,18:08:00,4321.5,4321.5,4321.5,4321.5,1,4321.76616028231,4322.23495429556,4320.01929110854
2012-12-30,18:09:00,4321.5,4321.5,4321.5,4321.5,2,4321.71292822585,4322.16814026869,4320.03269118901
2012-12-30,18:10:00,4321.5,4321.5,4321.25,4321.5,3,4321.67034258068,4322.10740024427,4320.04597000178
2012-12-30,18:11:00,4321.75,4321.75,4321.75,4321.75,1,4321.68627406454,4322.07490931297,4320.06139108773
2012-12-30,18:12:00,4321.75,4322,4321.75,4322,3,4321.74901925163,4322.06809937543,4320.07893505979
2012-12-30,18:14:00,4321.5,4321.5,4321.25,4321.25,4,4321.64921540131,4321.99372670493,4320.08953293255
2012-12-30,18:15:00,4321.5,4321.5,4321.5,4321.5,3,4321.61937232105,4321.94884245903,4320.1022973404
2012-12-30,18:16:00,4321.75,4322,4321.75,4322,5,4321.69549785684,4321.95349314457,4320.11947112013
2012-12-30,18:17:00,4322,4322,4321.75,4321.75,3,4321.70639828547,4321.93499376779,4320.13422703759
2012-12-30,18:19:00,4321.75,4321.75,4321.5,4321.75,17,4321.71511862838,4321.91817615254,4320.14884941734
2012-12-30,18:20:00,4321.25,4321.75,4321.25,4321.75,5,4321.7220949027,4321.9028874114,4320.16333946787
2012-12-30,18:21:00,4321.75,4322,4321.75,4322,7,4321.77767592216,4321.91171582855,4320.17996083015
2012-12-30,18:22:00,4322.25,4322.5,4322.25,4322.5,13,4321.92214073773,4321.96519620777,4320.20095665974
2012-12-30,18:23:00,4322.5,4323.5,4322.5,4323,74,4322.13771259018,4322.05926927979,4320.2262873687
2012-12-30,18:24:00,4323,4323,4323,4323,1,4322.31017007215,4322.14479025435,4320.25138884048
2012-12-30,18:25:00,4322.75,4322.75,4322.75,4322.75,6,4322.39813605772,4322.19980932214,4320.27400070618
2012-12-30,18:26:00,4322.5,4322.5,4322,4322,16,4322.31850884618,4322.18164483831,4320.28962060929
2012-12-30,18:28:00,4322,4322,4320.75,4321,13,4322.05480707694,4322.07422258028,4320.29604938205
2012-12-30,18:29:00,4321,4321.25,4321,4321.25,5,4321.89384566155,4321.9992932548,4320.30468241932
2012-12-30,18:30:00,4321,4321,4321,4321,3,4321.71507652924,4321.90844841345,4320.31097488611
2012-12-30,18:31:00,4321.25,4321.25,4320.75,4321,13,4321.57206122339,4321.82586219405,4320.31721040751
2012-12-30,18:32:00,4321,4321.75,4320.75,4321.75,15,4321.60764897872,4321.81896563095,4320.33017682916
2012-12-30,18:33:00,4321.75,4321.75,4321,4321,10,4321.48611918297,4321.74451420996,4320.33623857731
2012-12-30,18:34:00,4321,4321,4321,4321,10,4321.38889534638,4321.67683109996,4320.34224546801
2012-12-30,18:35:00,4321,4321,4321,4321,1,4321.3111162771,4321.61530099996,4320.34819799771
2012-12-30,18:36:00,4321,4321.25,4319.75,4320,52,4321.04889302168,4321.46845545451,4320.34504688461
2012-12-30,18:37:00,4320,4320.25,4320,4320.25,17,4320.88911441735,4321.35768677683,4320.34418673181
2012-12-30,18:38:00,4320.25,4321,4320.25,4320.75,18,4320.86129153388,4321.30244252439,4320.34785925007
2012-12-30,18:39:00,4320.5,4321,4320.5,4321,2,4320.8890332271,4321.27494774945,4320.35376097632
2012-12-30,18:40:00,4321,4322.25,4321,4322.25,22,4321.16122658168,4321.36358886313,4320.37092151047
2012-12-30,18:41:00,4322,4322,4321.75,4321.75,9,4321.27898126535,4321.3987171483,4320.38340185879
2012-12-30,18:42:00,4321.75,4321.75,4321.5,4321.75,9,4321.37318501228,4321.430651953,4320.39576926278
2012-12-30,18:43:00,4321.75,4321.75,4321.25,4321.25,10,4321.34854800982,4321.41422904818,4320.40349985769
2012-12-30,18:44:00,4321.75,4322,4321.75,4321.75,9,4321.42883840786,4321.44475368017,4320.41568537934
2012-12-30,18:46:00,4322.25,4322.75,4322.25,4322.5,11,4321.64307072629,4321.54068516379,4320.43454795509
2012-12-30,18:47:00,4322.25,4322.25,4321.5,4321.5,14,4321.61445658103,4321.53698651253,4320.44419005505
2012-12-30,18:48:00,4321.75,4321.75,4321.75,4321.75,4,4321.64156526482,4321.55635137503,4320.45600733962
2012-12-30,18:50:00,4320.75,4321.25,4320.75,4320.75,11,4321.46325221186,4321.48304670457,4320.45866790668
2012-12-30,18:51:00,4321,4321,4320.25,4320.25,9,4321.22060176949,4321.37095154961,4320.45677950933
2012-12-30,18:52:00,4320.5,4320.75,4320.5,4320.5,4,4321.07648141559,4321.29177413601,4320.457170645
2012-12-30,18:54:00,4320.5,4320.5,4320.5,4320.5,1,4320.96118513247,4321.2197946691,4320.45755824097
2012-12-30,18:55:00,4320.5,4320.75,4320.5,4320.5,4,4320.86894810598,4321.15435879009,4320.45794232929
2012-12-30,18:56:00,4320,4320.75,4320,4320.5,13,4320.79515848478,4321.09487162736,4320.45832294169
2012-12-30,18:57:00,4320.75,4320.75,4320.75,4320.75,1,4320.78612678783,4321.06351966123,4320.46096255308
2012-12-30,18:58:00,4320.25,4320.5,4320.25,4320.5,2,4320.72890143026,4321.01229060112,4320.46131583314
2012-12-30,18:59:00,4320.25,4320.25,4319.25,4319.75,47,4320.53312114421,4320.89753691011,4320.45487858578
2012-12-30,19:00:00,4319.5,4319.75,4319.5,4319.75,4,4320.37649691537,4320.79321537283,4320.44849959405
2012-12-30,19:01:00,4319.5,4320.75,4319.5,4320.25,18,4320.35119753229,4320.74383215712,4320.44670321764
2012-12-30,19:03:00,4320.5,4320.5,4320.5,4320.5,3,4320.38095802584,4320.72166559738,4320.44718554146
2012-12-30,19:04:00,4320.5,4320.5,4320.5,4320.5,1,4320.40476642067,4320.70151417943,4320.44766350036
2012-12-30,19:05:00,4320.25,4320.25,4320,4320,8,4320.32381313654,4320.63774016312,4320.44361224696
2012-12-30,19:06:00,4319.75,4320,4319.75,4320,4,4320.25905050923,4320.57976378466,4320.43959765649
2012-12-30,19:09:00,4319.5,4319.5,4319.25,4319.25,3,4320.05724040738,4320.45887616787,4320.42883206684
2012-12-30,19:10:00,4319.5,4319.5,4319.5,4319.5,1,4319.94579232591,4320.37170560715,4320.42042634678
2012-12-30,19:11:00,4319.5,4319.5,4319.5,4319.5,1,4319.85663386073,4320.29245964287,4320.41209669658
2012-12-30,19:12:00,4319.5,4320,4319.5,4320,10,4319.88530708858,4320.26587240261,4320.40836731471
2012-12-30,19:13:00,4320.5,4320.5,4320.5,4320.5,2,4320.00824567086,4320.28715672964,4320.40919656979
2012-12-30,19:14:00,4320.75,4320.75,4320.75,4320.75,3,4320.15659653669,4320.32923339058,4320.41228076372
2012-12-30,19:15:00,4321.25,4321.25,4320.75,4320.75,4,4320.27527722935,4320.36748490053,4320.41533704641
2012-12-30,19:16:00,4320.25,4320.25,4320,4320.25,4,4320.27022178348,4320.35680445503,4320.41384078354
2012-12-30,19:17:00,4320.25,4320.25,4319.25,4319.5,9,4320.11617742679,4320.27891314093,4320.4055707312
2012-12-30,19:18:00,4320.25,4320.75,4320.25,4320.5,14,4320.19294194143,4320.2990119463,4320.40642529472
2012-12-30,19:19:00,4320.75,4320.75,4320,4320,5,4320.15435355314,4320.27182904209,4320.40274723776
2012-12-30,19:20:00,4319.75,4319.75,4319.5,4319.5,2,4320.02348284251,4320.20166276554,4320.3945775795
2012-12-30,19:21:00,4320,4320,4320,4320,2,4320.01878627401,4320.18332978685,4320.39100674167
2012-12-30,19:22:00,4320,4320,4319.75,4319.75,2,4319.96502901921,4320.14393616987,4320.38520577568
2012-12-30,19:23:00,4319.75,4319.75,4319.75,4319.75,2,4319.92202321537,4320.10812379079,4320.37945730713
2012-12-30,19:25:00,4320.25,4320.25,4320.25,4320.25,1,4319.98761857229,4320.12102162799,4320.37828574779
2012-12-30,19:26:00,4319.75,4319.75,4319.25,4319.25,2,4319.84009485784,4320.04183784363,4320.36807501704
2012-12-30,19:28:00,4319.5,4319.5,4319.25,4319.25,4,4319.72207588627,4319.96985258511,4320.35795669109
2012-12-30,19:29:00,4319.5,4319.5,4319.5,4319.5,1,4319.67766070902,4319.92713871374,4320.35019237714
2012-12-30,19:30:00,4320.25,4320.25,4320,4320,5,4319.74212856721,4319.93376246704,4320.34702321536
2012-12-30,19:31:00,4320,4320,4319.25,4319.5,8,4319.69370285377,4319.89432951549,4320.3393578469
2012-12-30,19:32:00,4320,4320,4320,4320,4,4319.75496228302,4319.90393592317,4320.33628673516
2012-12-30,19:33:00,4319.5,4319.5,4319.25,4319.5,4,4319.70396982641,4319.86721447561,4320.32871852941
2012-12-30,19:34:00,4319.5,4319.75,4319.5,4319.5,3,4319.66317586113,4319.83383134146,4320.32121881421
2012-12-30,19:35:00,4319.75,4319.75,4319.75,4319.75,1,4319.6805406889,4319.82621031042,4320.31604941318
2012-12-30,19:36:00,4320,4320.25,4320,4320.25,7,4319.79443255112,4319.86473664584,4320.31545168093
2012-12-30,19:37:00,4320,4320,4320,4320,1,4319.8355460409,4319.8770333144,4320.31259691459
2012-12-30,19:39:00,4319.5,4319.5,4319,4319,14,4319.66843683272,4319.79730301309,4320.30071820948
2012-12-30,19:40:00,4319,4319.75,4319,4319.75,7,4319.68474946618,4319.79300273917,4320.29573433428
2012-12-30,19:41:00,4319.5,4319.5,4319,4319,13,4319.54779957294,4319.72091158106,4320.28400823171
2012-12-30,19:42:00,4319,4319,4319,4319,16,4319.43823965835,4319.6553741646,4320.27238824771
2012-12-30,19:43:00,4319,4319,4319,4319,10,4319.35059172668,4319.59579469509,4320.26087342194
2012-12-30,19:44:00,4319,4319,4318.75,4318.75,15,4319.23047338135,4319.51890426827,4320.2472003593
2012-12-30,19:45:00,4318.75,4318.75,4318.25,4318.25,8,4319.03437870508,4319.40354933479,4320.2291261479
2012-12-30,19:46:00,4318.25,4318.75,4318.25,4318.25,35,4318.87750296406,4319.29868121344,4320.21121550403
2012-12-30,19:47:00,4319,4319.75,4319,4319.75,12,4319.05200237125,4319.33971019404,4320.20704160807
2012-12-30,19:48:00,4320.25,4320.25,4319.5,4320,20,4319.241601897,4319.39973654004,4320.20516792836
2012-12-30,19:49:00,4320,4320.5,4319.5,4320.5,27,4319.4932815176,4319.49976049094,4320.2078360919
2012-12-30,19:50:00,4320.25,4321,4320.25,4320.75,47,4319.74462521408,4319.61341862813,4320.21274255261
2012-12-30,19:51:00,4320.75,4321,4320.5,4320.5,7,4319.89570017126,4319.69401693466,4320.21534216752
2012-12-30,19:52:00,4320.75,4321,4320.75,4320.75,5,4320.06656013701,4319.79001539515,4320.22018069994
2012-12-30,19:53:00,4320.75,4320.75,4320.25,4320.25,4,4320.10324810961,4319.83183217741,4320.22045055786
2012-12-30,19:54:00,4320.5,4320.5,4320.5,4320.5,5,4320.18259848769,4319.89257470673,4320.22298041706
2012-12-30,19:55:00,4320.75,4320.75,4320.5,4320.5,6,4320.24607879015,4319.94779518794,4320.22548738161
2012-12-30,19:56:00,4320.25,4320.25,4320,4320,3,4320.19686303212,4319.95254107995,4320.22344677182
